food_name,food_category,packaging_type,storage_location,is_opened,days_to_expire,days_since_opened,sisa_hari,label
Sereal Coklat,Produk Kering,Karton,,0,224,0,224.0,Fresh
Nugget Sapi,protein,Plastik,Freezer,1,129,7,-4.0,Expired
Yogurt Plain,Produk Olahan Susu,,Chiller,0,29,0,29.0,Fresh
Ikan Tuna,Produk Kaleng,KALENG,room temp,0,-10,0,35.0,Fresh
Susu UHT Full Cream,Produk Olahan Susu,Karton,Chiller,1,186,4,3.0,
Jus Nanas,Produk Minuman,karton ,CHILLER,0,150,0,150.0,Fresh
Soda Jeruk,Produk Minuman,Kaleng,Outside,1,220,2,-1.0,Expired
 Soda Jeruk,,Kaleng,Outside,1,205 hari,1,0.0,Expired
Biskuit Oatmeal,Produk Kering,Polimer,Outside,0,120,0,120.0,Fresh
Nugget Sayuran,Produk Protein,Plastik,freezer,1,86 hari,,-1.0,Expired
Soda Lemon,Produk Minuman,Kaleng,Outside,0,61,0,61.0,Fresh
Teh Botol,Produk Minuman,Botol Kaca,Outside,0,99,0 days,99.0,Fresh
Susu Kental Manis Putih,Produk Olahan Susu,Tin Can,,1,461,17,-3.0,Expired
Biskuit Oreo,PRODUK KERING,Plastik,Outside,0,143,0,143.0,Fresh
Biskuit Marie,produk kering,Plastik,Outside,1,39,11,,Expired
Teh Kotak Hijau,Produk Minuman,Karton,Outside,0,75,0,,Fresh
Sosis Bebek,Produk Protein,,Chiller,0,72,0,72.0,Fresh
Biskuit Oreo,Produk Kering,Plastik,Outside,1,73,4,3.0,Soon
Biskuit Crackers,Produk Kering,Plastik,Outside,0,76,0,76.0,Fresh
mie instan goreng,Produk Kering,PLASTIK,Outside,0,175,,175.0,Fresh
Sereal Cornflakes ,Produk Kering,Karton,Outside,0,90,0,90.0,Fresh
Air Mineral,Produk Minuman,Plastik,Outside,0,277,0,277.0,Fresh
Susu Bubuk Skim,Produk Olahan Susu,Karton,Outside,1,602,10,20.0,Fresh
Sosis Frozen,Produk Protein,Plastik,Freezer,0,23,0,23.0,Fresh
Mie Instan Soto,Produk Kering,PLASTIK,Outside,0,153,0,153.0,Fresh
Keju Cream Cheese,Produk Olahan Susu,Karton,Chiller,1,56,5,9.0,Fresh
Yogurt Plain,Produk Olahan Susu,Plastik,Chiller,0,9,0,9.0,Fresh
Jus Sirsak,Prod. Minuman,Karton,Chiller,0,84,0,84.0,Fresh
Susu UHT Coklat,Produk Olahan Susu,Tetrapak,Chiller,1,,1,9999.0,Expired
Sereal Cornflakes,produk kering,Tetrapak,,1,143,12,18.0,Fresh
Susu Bubuk Skim,produk olahan susu,Karton,OUTSIDE,0,405,0,405.0,Fresh
Biskuit Oreo,Kering,Plastik,Outside,0,41,0,41.0,Fresh
Jagung Manis Kaleng,Produk Kaleng,Kaleng,Chiller,1,144,3,0.0,Expired
Sereal Coklat,Produk Kering,Karton,Outside,0,247,0,247.0,
Air Soda,Produk Minuman,plastik,Outside,1,201,4,-3.0,Expired
Sereal Cornflakes,Produk Kering,Karton,Outside,1,222 hari,35,,Expired
Susu UHT Coklat ,Prod. Susu,karton ,Chiller,1,169,3,-2.0,Expired
Susu Evaporasi,Produk Olahan Susu,Kaleng,Chiller,1,426,8,-1.0,Expired
Jus Jambu,,Karton,Chiller,true,98 hari,4,-1.0,Expired
Sosis Ayam,Produk Protein,Plastik,refrigerator,0,51,0,51.0,Fresh
Teh Lemon,Produk Minuman,,Outside,0,183,0,183.0,Fresh
  Ikan Salmon  ,Produk Kaleng,Kaleng,Outside,1,264,3,-1.0,Expired
Yogurt Mangga,Produk Olahan Susu,PLASTIK,Chiller,1,18,5,-2.0,Expired
Sosis Frozen,Produk Protein,Plastik,Freezer,0,35,0,35.0,Fresh
Susu UHT Coklat,Produk Olahan Susu,KARTON,Chiller,0,187,0,187.0,Fresh
Biskuit Sandwich,Produk Kering,Plastik,OUTSIDE,1,107,3,2.0,Soon
Susu Evaporasi,Produk Olahan Susu,Kaleng,fridge,0,478,0,478.0,Fresh
 Susu Bubuk Bayi,Produk Olahan Susu,Karton,Outside,,279,0,279.0,Fresh
Sereal Coklat,Produk Kering,Karton,OUTSIDE,1,92,26,-5.0,Expired
Sosis Ikan,Produk Protein,Plastik,Chiller,0,6,0,6.0,Soon
TEH BOTOL,Produk Minuman,Botol Kaca,Outside,0,339,0,339.0,Fresh
Nugget Sayuran,Produk Protein,Plastik,Freezer,,114,0,114.0,Fresh
Sosis Bebek,Produk Protein,Plastik,Chiller,1,90,3 days,4.0,Soon
Biskuit Digestive,Produk Kering,Plastik,Outside,0,354 hari,0,354.0,Fresh
Ikan Salmon,Produk Kaleng,Kaleng,Outside,1,748,1,1.0,Soon
Sereal Oat,Dry Food,Karton,Room Temp,0,59 hari,0,59.0,Fresh
Persik Kaleng,Produk Kaleng,can,Outside,1,637,6,-3.0,Expired
Susu UHT Vanila,Produk Olahan Susu,Karton,Chiller,0,,0,218.0,Fresh
Jus Nanas,Produk Minuman,carton,Chiller,,179,0,179.0,Fresh
Minuman Isotonik,Prod. Minuman,plastik,Outside,0,175,0,175.0,ok
Soda Lemon,PRODUK MINUMAN,Kaleng,Outside,0,166,0,166.0,Fresh
Jus Nanas,Prod. Minuman,Karton,Chiller,,116,0 days,116.0,Fresh
Yogurt Blueberry,Produk Olahan Susu,Plastik,Chiller,1,7,3,0.0,Expired
Susu Pasteurisasi,Produk Olahan Susu,Plastik,fridge,1,10,6,-3.0,Expired
Leci dalam Sirup,Kaleng,Kaleng,Outside,1,100,4,-1.0,Expired
Yogurt Blueberry,Produk Olahan Susu,Plastik,chiller,0,5 hari,0,5.0,soon
Sosis Frozen,Produk Protein,Plastik,Freezer,0,51,0 days,51.0,Fresh
Cola Zero Sugar,Prod. Minuman,Kaleng,Outside,1,365,4,-3.0,Expired
Jus Mangga,Produk Minuman,Karton,Chiller,1,114,1,0.0,Expired
Minuman Isotonik,Produk Minuman,Plastik,Luar,0,-10,0,223.0,Fresh
Sarden Cabai,,Kaleng,Outside,1,995,6,-4.0,Expired
Mangga Kaleng,Produk Kaleng,Tin,Outside,0,517,0,517.0,Fresh
Mie Instan Goreng,Produk Kering,Plastik,Outside,0,116,0,116.0,Fresh
Susu Bubuk Skim,Produk Olahan Susu,Karton,outside,0,553,0 days,553.0,ok
Jagung Manis Kaleng,,Kaleng,Chiller,1,121,5,-2.0,Expired
Mie Instan Goreng,Produk Kering,Plastik,room temp,1,,2,-2.0,Expired
Sereal Muesli,Produk Kering,Karton,Outside,0,260,0,260.0,Fresh
Kornet Sapi,Produk Kaleng,Kaleng,Outside,0,644,0,644.0,Fresh
Teh Kotak Hijau,Produk Minuman,Karton,Outside,0,90,0,90.0,Fresh
Susu Bubuk Bayi,Produk Olahan Susu,Karton,Outside,1,588,26,4.0,Soon
Air Soda,Produk Minuman,Plastik,Outside,0,59,0,59.0,Fresh
Susu Pasteurisasi,Produk Olahan Susu,Plastik,Chiller,1,9,6,-3.0,Expired
  Keju Cream Cheese  ,Produk Olahan Susu,Karton,Chiller,1,5,8,5.0,Soon
Kornet Ayam,Produk Kaleng,Kaleng,Outside,1,863,3,0.0,Expired
Susu Almond,Produk Olahan Susu,Karton,Chiller,1,-5,6,-1.0,Dead
Sereal Granola,Produk Kering,Karton,Outside,0,66,0,66.0,Fresh
Jus Mangga,Produk Minuman,Karton,Chiller,0,13,0,13.0,Fresh
Keju Cheddar,Produk Olahan Susu,,Chiller,0,135,0,135.0,Fresh
Susu Pasteurisasi,Produk Olahan Susu,Plastik,Chiller,1,1,1,1.0,Soon
Jus Jeruk,Produk Minuman,Karton,Chiller,0,68,0,68.0,Fresh
Susu Kental Manis Putih,Produk Olahan Susu,Kaleng,Chiller,1,114,10,4.0,Soon
Sosis Frankfurter,Produk Protein,Plastik,Chiller,0,41,0,41.0,Fresh
Sosis Frankfurter,Produk Protein,Plastik,Chiller,0,71,0,71.0,Fresh
Susu Pasteurisasi,Produk Olahan Susu,Plastik,kulkas,1,2 hari,7,-4.0,
Susu Bubuk Coklat,,KARTON,Outside,0,94 hari,0,94.0,Fresh
Susu UHT Stroberi,Produk Olahan Susu,Karton,Chiller,0,112,0,112.0,Fresh
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Refrigerator,1,440,1,13.0,Fresh
Mie Instan Soto,Produk Kering,Plastik,Outside,1,114,2,-2.0,Expired
Susu Pasteurisasi,Produk Olahan Susu,Plastik,Chiller,1,9,1,2.0,Hampir
Nugget Ayam,Produk Protein,Polimer,frozen,0,4,0,4.0,Soon
Susu Almond,Produk Olahan Susu,Karton,Chiller,0,35,0,35.0,Fresh
Soda Lemon,Produk Minuman,Kaleng,Outside,0,82,0,82.0,Fresh
Cola Original,Prod. Minuman,Kaleng,Outside,0,,0,283.0,Fresh
Buah Cocktail,Produk Kaleng,Kaleng,Outside,1,,7,-4.0,Expired
Leci dalam Sirup,Produk Kaleng,Kaleng,Room Temp,0,647,0,647.0,Fresh
Jus Mangga,Produk Minuman,Karton,Chiller,0,160,0,160.0,Fresh
Susu Bubuk Bayi,Produk Olahan Susu,Karton,Outside,0,691,0,691.0,Fresh
Susu Kental Manis Coklat,PRODUK OLAHAN SUSU,Kaleng,,1,260,1,13.0,Fresh
Jagung Manis Kaleng,PRODUK KALENG,Kaleng,Chiller,1,9999,2,1.0,Soon
Soda Lemon,Produk Minuman,Kaleng,Outside,0,259 hari,0,259.0,Fresh
Susu UHT Stroberi,Dairy,Karton,Chiller,1,113,2,-1.0,Expired
Jus Apel,Produk Minuman,Karton,Chiller,0,128,0,128.0,Fresh
YOGURT MANGGA,Produk Olahan Susu,Plastik,Chiller,Tidak,21,0,21.0,Fresh
Jus Jambu,Produk Minuman,Karton,Chiller,0,4,0,4.0,Soon
Jus Mangga,Produk Minuman,Karton,Chiller,1,20,1,-50.0,Expired
Sosis Frankfurter,Prod. Protein,Plastik,fridge,Yes,31,5,2.0,Soon
Minuman Energi,PRODUK MINUMAN,Kaleng,Suhu Ruangan,,342,0,342.0,Fresh
Kornet Sapi,Produk Kaleng,,suhu ruangan,1,501,5,-999.0,Expired
Biskuit Wafer,Produk Kering,Plastik,Outside,0,95,0,95.0,Fresh
Yogurt Mangga,Produk Olahan Susu,Plastik,Chiller,1,19,6,-3.0,Expired
Yogurt Kefir,Produk Olahan Susu,Botol Kaca,Chiller,1,3,7,-4.0,Expired
Susu Almond,Produk Olahan Susu,Karton,Chiller,0,58,0,58.0,Fresh
Susu Kental Manis Putih,Produk Olahan Susu,Kaleng,kulkas,0,657,0,,Fresh
Teh Kotak Hijau,Produk Minuman,Karton,Outside,true,257,1,0.0,Expired
Nugget Tempe,Produk Protein,plastik,Freezer,1,23,5,-2.0,Expired
Cola Zero Sugar,Produk Minuman,Kaleng,Luar,1,182,6,-5.0,Dead
Sarden Minyak Zaitun,Produk Kaleng,Kaleng,Outside,0,-5,0,395.0,Fresh
Air Mineral,Produk Minuman,Plastik,Outside,0,533,0,533.0,Fresh
Keju Cream Cheese,Produk Olahan Susu,Karton,Chiller,1,6,4,6.0,Soon
Biskuit Crackers,Produk Kering,Plastik,Outside,0,75,0,75.0,Fresh
Leci dalam Sirup,Produk Kaleng,Kaleng,Outside,1,241,,-4.0,Expired
Biskuit Marie,Dry Food,Plastik,Outside,0,65,0,65.0,Fresh
Sarden Tomat,Prod. Kaleng,Kaleng,Outside,0,152,0,152.0,Fresh
Biskuit Digestive,,Plastic,Outside,0,304,0,304.0,OK
Mie Instan Goreng,Produk Kering,Plastik,Outside,1,238,4,-4.0,Expired
Teh Kotak Jasmine,Produk Minuman,Karton,Outside,0,25,0,25.0,Fresh
Minuman Isotonik,Produk Minuman,Polimer,Outside,0,280,0,280.0,Fresh
Buah Cocktail,Produk Kaleng,Kaleng,Outside,0,68,0,68.0,Fresh
Ikan Makerel,Produk Kaleng,Kaleng,Outside,0,186,0,186.0,Fresh
Nugget Tempe,Produk Protein,Plastik,Freezer,,85,7,-4.0,Expired
Jus Apel,Produk Minuman,Karton,Chiller,1,171,8,-3.0,Expired
Nugget Tempe,Produk Protein,Plastik,Freezer,0,58,,58.0,Fresh
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Chiller,,559,0,559.0,Fresh
Kornet Ayam,Produk Kaleng,Kaleng,Outside,1,500,6,-3.0,Expired
Cola Original,produk minuman,Kaleng,Outside,1,41,6,-5.0,Expired
Biskuit Wafer,Produk Kering,Plastick,Outside,0,112,0,112.0,Fresh
Sarden Tomat,Produk Kaleng,Kaleng,Outside,0,281,0,281.0,Fresh
Yogurt Plain,Produk Olahan Susu,Plastik,Chiller,0,17,0,17.0,Fresh
Minuman Isotonik,Minuman,Plastik,Outside,0,256,0,256.0,Fresh
Yogurt Plain,Produk Olahan Susu,Plastik,Chiller,0,4,0,4.0,Soon
Susu Almond,Produk Olahan Susu,Karton,Chiller,false,231,0,231.0,Fresh
Jus Sirsak,Produk Minuman,Karton,CHILLER,0,31 hari,0,31.0,Fresh
Biskuit Wafer,Produk Kering,plastic,OUTSIDE,1,45,9,,
Sarden Cabai,PRODUK KALENG,Kaleng,Outside,0,407,0,407.0,
Yogurt Plain,Produk Olahan Susu,Plastik,Chiller,1,4,3,2.0,warning
Sosis Ayam,Prod. Protein,Plastik,Chiller,0,59,0,59.0,Fresh
Soda Jeruk,Produk Minuman,Kaleng,Outside,0,146,0,146.0,Fresh
Jus Mangga,Produk Minuman,Karton,Chiller,0,107,0,107.0,Fresh
Susu UHT Coklat,Produk Olahan Susu,Karton,Chiller,0,99,0,99.0,Fresh
Biskuit Wafer,Produk Kering,Plastik,Outside,1,118,7,-2.0,Dead
Nugget Sayuran,Produk Protein,Plastik,Freezer,0,86,0,86.0,Fresh
Biskuit Oatmeal,Produk Kering,Plastik,Outside,,45,12,-5.0,Expired
Nugget Tempe,Produk Protein,Plastik,Freezer,1,42,8,-5.0,Expired
Air Soda,Produk Minuman,Plastik,Outside,1,190,1,0.0,Expired
Biskuit Oatmeal,Produk Kering,Plastik,Outside,1,174,6,1.0,Soon
Sosis Bebek,Produk Protein,Plastik,Chiller,0,64,0,64.0,Fresh
Biskuit Digestive,Produk Kering,Polimer,,1,259,9,,Soon
Sereal Coklat,Produk Kering,Karton,Outside,1,309,23 days,-2.0,
Kornet Sapi,Produk Kaleng,Kaleng,Outside,1,291,1,2.0,Soon
Yogurt Kefir,Produk Olahan Susu,Botol Kaca,Chiller,0,12 hari,0,12.0,Fresh
Sereal Coklat,Produk Kering,Karton,Outside,0,202,0,202.0,Fresh
Sosis Frankfurter,produk protein,Plastik,Chiller,1,58,2,5.0,Soon
Jus Sirsak,Produk Minuman,Karton,Chiller,0,6,0,6.0,Soon
Biskuit Oatmeal,Produk Kering,Plastik,Outside,1,178,10 days,-3.0,Expired
Minuman Energi,Produk Minuman,can,Outside,1,328,1,0.0,Expired
Sereal Muesli,Produk Kering,Karton,Outside,0,90,0,90.0,Fresh
Ikan Tuna,Produk Kaleng,Kaleng,,Ya,438,5,-3.0,Expired
Ikan Tuna,Produk Kaleng,,Outside,1,126,1,1.0,Soon
Soda Lemon ,Produk Minuman,Kaleng,suhu ruangan,0,73,0,73.0,Fresh
Minuman Energi,Produk Minuman,Kaleng,Outside,1,321,6,-5.0,Expired
Yogurt Blueberry,Produk Olahan Susu,Plastik,Chiller,1,18,6,-3.0,Expired
Susu UHT Coklat,PRODUK OLAHAN SUSU,Kardus,chiller,1,105,6,-5.0,Expired
Sosis Ikan,Produk Protein,Plastik,Chiller,1,23,6,9999.0,basi
Susu UHT Vanila,Produk Olahan Susu,Karton,Chiller,1,52,2,-1.0,Expired
Susu Kental Manis Coklat,Produk Olahan Susu,tin,,1,377,17,-3.0,kadaluarsa
Sereal Muesli,Prod. Kering,Karton,Outside,1,147,33,-3.0,Expired
Sarden Tomat,Produk Kaleng,Kaleng,Outside,1,865,3,-1.0,Expired
Teh Tarik,Produk Minuman,KARTON,Chiller,0,38,0,38.0,Fresh
Buah Cocktail,,Kaleng,Outside,1,182,1,2.0,Soon
Ikan Makerel,Canned,Kaleng,Outside,1,628,2,0.0,Expired
Susu Bubuk Skim,PRODUK OLAHAN SUSU,,Outside,0,643,0,643.0,Fresh
Keju Cheddar,Produk Olahan Susu,Plastik,Chiller,1,126,8,6.0,Soon
Ikan Salmon,Produk Kaleng,Kaleng,Outside,1,950,6,-4.0,Expired
Susu Bubuk Full Cream,Produk Olahan Susu,Karton,Outside,0,,0,72.0,Fresh
Air Mineral,Produk Minuman,Plastik,Outside,0,576,0,576.0,Fresh
Air Soda,Produk Minuman,Polimer,Outside,1,217,,-1.0,Expired
Susu UHT Coklat,Produk Olahan Susu,Karton,Chiller,1,108,4,-3.0,EXPIRED
Nugget Sapi,Produk Protein,Plastik,Freezer,1,94,4,-1.0,Expired
	Biskuit Oatmeal,Produk Kering,Plastik,Outside,0,72,0,72.0,Fresh
Mie Instan Goreng,Produk Kering,Plastik,Outside,0,266,0,266.0,Fresh
Sosis Ikan,Produk Protein,Plastik,,0,44,0,44.0,Fresh
Biskuit Digestive,Produk Kering,Plastik,,,292,0,292.0,Fresh
Jus Anggur,Produk Minuman,Botol Kaca,Chiller,1,47,6,-50.0,Expired
Teh Kotak Jasmine,Produk Minuman,Karton,Outside,0,4,0,4.0,Soon
Biskuit Oatmeal,Kering,Plastik,Room Temp,1,176,8,-1.0,Expired
Sereal Muesli,Produk Kering,Karton,Outside,0,339,0,339.0,Fresh
Susu Kental Manis Putih,Produk Olahan Susu,Kaleng,Chiller,0,342,0,342.0,Fresh
Minuman Isotonik,Produk Minuman,Plastic,Outside,1,252,4,-3.0,Expired
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Outside,0,570,0,570.0,Fresh
Susu Almond,Produk Olahan Susu,Karton,Chiller,1,,6,-1.0,Expired
Keju Parmesan,Produk Olahan Susu,Plastik,Chiller,0,231,0,231.0,Fresh
Sosis Ikan,produk protein,Plastik,CHILLER,Ya,31,4,-1.0,Expired
  Nanas Kaleng  ,Produk Kaleng,Kaleng,Outside,1,72 hari,1,2.0,Soon
Sereal Coklat,Produk Kering,Karton,Outside,0,86,0,86.0,Fresh
Nanas Kaleng,Produk Kaleng,Kaleng,Outside,0,166,0,166.0,Fresh
Air Mineral,Produk Minuman,Plastik,,0,268,0,268.0,Fresh
Susu Almond,Produk Olahan Susu,Karton,Chiller,1,195,4,1.0,Soon
Leci dalam Sirup,Produk Kaleng,Kaleng,Outside,0,677,0,677.0,FRESH
Ikan Salmon,Produk Kaleng,Kaleng,Outside,0,691,0,691.0,Fresh
Sereal Oat,Produk Kering,Karton,Outside,1,364,32,-2.0,Expired
Jus Anggur,Produk Minuman,Botol Kaca,Chiller,0,58,0,58.0,Fresh
Sosis Ikan,Produk Protein,Plastik,Chiller,1,7,5,-2.0,Expired
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Chiller,1,19 hari,8,-5.0,Expired
Mie Instan Ayam,Produk Kering,Plastik,Outside,1,293,3,-3.0,Expired
Susu Almond,Produk Olahan Susu,Karton,Chiller,1,165,4,1.0,Soon
Sosis Frankfurter,Produk Protein,Plastik,Chiller,0,11,0,11.0,Fresh
Biskuit Marie,,PLASTIK,Outside,1,28,3,4.0,Soon
Nugget Ikan,Protein,Plastik,Freezer,0,107,0,107.0,Fresh
Keju Mozzarella,,Plastik,,0,33,0,33.0,Fresh
Susu Bubuk Full Cream,Produk Olahan Susu,Karton,Outside,1,96,15,15.0,Fresh
Sarden Tomat,Produk Kaleng,Kaleng,Outside,1,566,4,-2.0,Expired
Sereal Muesli,Kering,Karton,,0,12,,12.0,Fresh
Susu Evaporasi,Produk Olahan Susu,Kaleng,Chiller,0,321,0,321.0,Fresh
Sosis Sapi,Produk Protein,Plastik,Chiller,1,35,9,-4.0,EXPIRED
Jus Jeruk,Produk Minuman,Karton,refrigerator,0,51,0,51.0,Fresh
Jus Jambu,Produk Minuman,Karton,Chiller,0,100,0,,Segar
Jus Jeruk,Produk Minuman,Karton,Chiller,1,3,2,3.0,
Susu UHT Low Fat,Produk Olahan Susu,Karton,Chiller,1,19,9,-4.0,Expired
Susu Pasteurisasi,Produk Olahan Susu,Plastik,,1,6,3,-50.0,Expired
Biskuit Marie,PRODUK KERING,Plastik,Outside,1,68,3,4.0,Soon
Jus Jeruk,Produk Minuman,Karton,,0,54,0,54.0,Fresh
Nugget Sayuran,Prod. Protein,Plastik,Freezer,,45,2,1.0,Soon
Sereal Coklat,Produk Kering,Karton,Outside,0,301,0,301.0,Fresh
Biskuit Crackers,Produk Kering,Plastik,Room Temp,0,150,0,150.0,Fresh
Jus Apel,Produk Minuman,,Chiller,1,17,9,-4.0,Expired
Sarden Cabai,Produk Kaleng,Kaleng,Outside,0,365,0,,Fresh
Susu UHT Low Fat,Produk Olahan Susu,Karton,Chiller,0,151,0,151.0,
Susu Evaporasi,Produk Olahan Susu,Kaleng,,1,251 hari,11,-4.0,Expired
Susu Bubuk Coklat,Produk Olahan Susu,,Outside,0,147,0,147.0,Fresh
Susu Kedelai,Produk Olahan Susu,Karton,Chiller,0,178,0,178.0,Fresh
Sosis Frankfurter,Produk Protein,Plastik,Chiller,1,51,4,3.0,Soon
Nugget Sayuran,Produk Protein,Plastik,Freezer,0,80,0,80.0,Fresh
Nugget Ikan,Produk Protein,Plastik,,Tidak,64,0,64.0,Fresh
Ikan Salmon,Produk Kaleng,Kaleng,Outside,,84,1,1.0,Segera
Susu Pasteurisasi,Produk Olahan Susu,Plastik,fridge,0,5,0,5.0,Soon
Susu Pasteurisasi,Produk Olahan Susu,Plastik,chiller,0,7,0,7.0,Soon
Jus Jeruk,Produk Minuman,KARTON,Chiller,1,61,7,-2.0,Expired
Sarden Minyak Zaitun,Produk Kaleng,Kaleng,Outside,1,627,3,-1.0,Expired
Jus Anggur,Produk Minuman,Botol Kaca,refrigerator,true,159,9,,Expired
Jus Jeruk,Produk Minuman,carton,,1,170,3,2.0,Soon
Yogurt Minum Probiotik,PRODUK OLAHAN SUSU,Botol Kaca,Chiller,0,2,0 days,2.0,Soon
Nugget Ayam,Produk Protein,Plastik,Freezer,0,146,0,146.0,Fresh
Yogurt Kefir,dairy,Botol Kaca,Chiller,0,10,0,10.0,Fresh
Susu Pasteurisasi,Produk Olahan Susu,Plastik,Chiller,1,9,5,-2.0,Expired
Biskuit Sandwich,Produk Kering,Plastik,Outside,0,67,0,67.0,Fresh
Jus Jeruk,Produk Minuman,Karton,Chiller,1,110,8,-3.0,Expired
Susu UHT Stroberi,Dairy,Karton,Chiller,1,-10,1,0.0,Expired
Teh Kotak Jasmine,Produk Minuman,Karton,Outside,0,37,0,37.0,Fresh
Keju Cheddar,produk olahan susu,Plastik,Chiller,0,146,0,146.0,Fresh
Mangga Kaleng,Produk Kaleng,Can,Outside,0,701,0 days,701.0,
Sarden Cabai,Produk Kaleng,Kaleng,Outside,1,254,7,-5.0,Expired
Susu Kental Manis Coklat,dairy,Kaleng,Chiller,1,380,12,2.0,
Teh Kotak Hijau,Produk Minuman,Carton,,1,56,4,-3.0,Expired
Biskuit Crackers,Produk Kering,Plastik,Luar,1,125,10,-3.0,Expired
Teh Kotak Hijau,Produk Minuman,Karton,Outside,0,342,0,342.0,Fresh
Soda Lemon,Produk Minuman,Kaleng,Outside,1,265 hari,,-1.0,Kadaluarsa
Sosis Frozen,Produk Protein,Plastik,Freezer,0,48,0,48.0,Fresh
  Sereal Muesli  ,Produk Kering,Tetrapak,Outside,1,260,32,,Expired
Sosis Sapi,,Plastik,Chiller,,58,0,58.0,Fresh
Susu UHT Low Fat,Produk Olahan Susu,Karton,,1,55,9 days,-4.0,Expired
	Nugget Ayam,,Plastik,Freezer,0,136,0,136.0,Fresh
Ikan Makerel,Produk Kaleng,Kaleng,Outside,0,286,0,286.0,Fresh
Mie Instan Soto,Produk Kering,Plastik,,1,277,2 days,-2.0,Expired
Yogurt Greek,dairy,Plastik,Chiller,1,14,8,-3.0,Expired
Cola Zero Sugar,Produk Minuman,Kaleng,Outside,1,212,6,-5.0,Expired
Susu Bubuk Skim,Produk Olahan Susu,Karton,Outside,1,571,24,6.0,Soon
Rambutan Kaleng,Produk Kaleng,Kaleng,Outside,1,644,7,-4.0,Expired
Sarden Tomat,Produk Kaleng,Kaleng,Outside,0,259,0,259.0,Fresh
Nugget Sayuran,Produk Protein,Plastik,Freezer,1,88,7,-4.0,Expired
Rambutan Kaleng,Prod. Kaleng,Kaleng,,1,371,3,0.0,Expired
Susu Kental Manis Coklat,dairy,Kaleng,Chiller,1,318,17,,Expired
Keju Edam,Produk Olahan Susu,Plastik,Chiller,1,94,18,3.0,Soon
Nugget Sayuran,produk protein,Plastik,Freezer,1,158,6,-3.0,Expired
Kornet Ayam,,Kaleng,,1,488,3,0.0,Expired
Biskuit Oatmeal,Produk Kering,Plastik,Outside,0,31 hari,0,,FRESH
Nanas Kaleng,Prod. Kaleng,Kaleng,Outside,1,41,6,-3.0,Expired
Jus Jambu,Produk Minuman,Karton,Chiller,0,80,0,80.0,Fresh
Nugget Ikan,Produk Protein,Plastik,Freezer,1,161,5,-2.0,Expired
Leci dalam Sirup,Produk Kaleng,Kaleng,Outside,1,476,5,,Expired
Teh Botol,Produk Minuman,Botol Kaca,Outside,1,58 hari,2,1.0,Soon
Susu Evaporasi,Produk Olahan Susu,Kaleng,Chiller,1,532,5,2.0,Soon
Sarden Tomat,Produk Kaleng,Kaleng,Outside,1,221,6,-4.0,Kadaluarsa
MANGGA KALENG,Produk Kaleng,Kaleng,Outside,0,316,0,316.0,Fresh
Susu UHT Stroberi,Produk Olahan Susu,Karton,Chiller,0,33,0,33.0,Fresh
Air Mineral,Produk Minuman,Plastik,Outside,Ya,473,1,0.0,Expired
Biskuit Crackers,Produk Kering,Plastik,Outside,0,124,0,124.0,Fresh
Teh Botol,Produk Minuman,glass,OUTSIDE,0,1,0,1.0,SOON
Leci dalam Sirup,Produk Kaleng,Kaleng,Outside,1,262,7,-4.0,Expired
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Chiller,0,148,0,148.0,Fresh
 Nugget Ayam,Produk Protein,Plastik,Freezer,0,93,0,93.0,Segar
Jus Jeruk,Produk Minuman,Karton,Chiller,Ya,46,6,-1.0,Expired
Nugget Ikan,Produk Protein,,Freezer,0,116,0,116.0,Fresh
Nugget Sapi,Produk Protein,Plastik,Freezer,1,96,7,-4.0,Expired
Nugget Ayam,Produk Protein,Plastik,Freezer,0,12,0,,Fresh
Teh Botol,produk minuman,Botol Kaca,Outside,0,274,0,274.0,Fresh
ikan tuna,Produk Kaleng,Kaleng,Outside,1,955,5,-3.0,Expired
Teh Tarik,Produk Minuman,Karton,Kulkas,0,214,0,214.0,Segar
Sosis Ikan,Produk Protein,Plastik,Chiller,0,25,0,25.0,Fresh
Nugget Udang,,Plastik,Freezer,1,24,5,-2.0,Expired
Cola Zero Sugar,Produk Minuman,Kaleng,Outside,No,10000,0,231.0,Fresh
Susu UHT Low Fat,Olahan Susu,Karton,Chiller,0,228,0,228.0,Fresh
Sereal Oat,Produk Kering,Karton,Outside,0,25,0,25.0,Fresh
Susu Pasteurisasi,Produk Olahan Susu,Plastic,Dingin,0,4,0,4.0,Soon
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Chiller,1,21,6,-3.0,Expired
 Sarden Minyak Zaitun,Produk Kaleng,Kaleng,outside,1,194,1,1.0,Soon
Jus Sirsak,Produk Minuman,Karton,Chiller,0,148,0,148.0,Fresh
Jus Sirsak,Produk Minuman,karton ,,0,47,0,47.0,Fresh
Nugget Sayuran,Produk Protein,Plastik,Freezer,0,124,0,124.0,Fresh
Biskuit Crackers,,Plastick,Outside,1,166,12,-5.0,Basi
Sosis Bebek,Produk Protein,Plastik,Chiller,0,30,0,30.0,Fresh
