nama_item,jenis_item,lokasi_penyimpanan,hari_sejak_pembelian,sisa_hari,label
Wortel,Sayur,Pembeku,1.0,9.5,Busuk
,Buah,,1.0,,Terlalu Matang
Pisang,Buah,Pembeku,4.0,26.0,Matang
Timun,Sayur,Pendingin,0.0,1.1,Busuk
Apel,Buah,Pembeku,1.0,2.4,Busuk
Tomat,Sayur,Pendingin,1.0,1.2,Busuk
Kentang,Sayur,Pembeku,0.0,11.0,Busuk
Tomat,Sayur,Suhu Ruang,1.0,11.4,Segar
Pisang,Buah,Pembeku,1.0,1.1,Busuk
Mangga,Buah,Suhu Ruang,1.0,0.6,Busuk
Apel,Buah,Pembeku,0.0,17.4,Terlalu Matang
Jeruk,Buah,Pendingin,0.0,1.2,Busuk
Jeruk,Buah,Suhu Ruang,6.0,14.5,Mentah
,Sayur,,1.0,,Segar
Wortel,Sayur,Suhu Ruang,2.0,17.3,Segar
Apel,Buah,Suhu Ruang,1.0,0.2,Busuk
Apel,Buah,Suhu Ruang,3.0,7.4,Matang
Anggur,Buah,Pembeku,1000.0,4666.2,Busuk
Pisang,Buah,Pendingin,2.0,4.4,Expired
Apel,Buah,Pendingin,,1.4,Busuk
Mangga,Buah,Suhu Ruang,0.0,0.9,Busuk
Jeruk,Buah,Pendingin,2.0,5.8,Terlalu Matang
Kentang,Sayur,Pembeku,0.0,7.1,Busuk
Apel,Buah,Suhu Ruang,5.0,11.8,Mentah
Timun,Sayur,Pendingin,2.0,18.6,Segar
Pisang,Buah,Pendingin,3.0,6.4,Terlalu Matang
Timun,Sayur,Pembeku,6.0,41.4,Segar
Wortel,Sayur,Suhu Ruang,4.0,17.3,Segar
Jeruk,Buah,Pembeku,1.0,5.0,Busuk
Cabe,Bumbu,Pendingin,2.0,2.6,Busuk
,Sayur,Pembeku,0.0,-43.3,null
Mangga,Buah,Pendingin,2.0,10.2,Matang
Jeruk,Buah,Pembeku,3.0,11.3,Terlalu Matang
Cabe,Sayur,Pendingin,0.0,3.3,Busuk
Tomat,Sayur,Pendingin,0.0,2.3,Busuk
Jeruk,Buah,Pendingin,0.0,1.9,Busuk
Kentang,Sayur,Suhu Ruang,1.0,10.0,Segar
Cabe,Sayur,Suhu Ruang,5.0,10.0,Segar
Kentang,Sayur,Suhu Ruang,5.0,14.8,Segar
,Buah,,5.0,,Mentah
Cabe,Sayur,Pendingin,1.0,0.4,Busuk
Cabe,Sayur,Pendingin,4.0,20.0,Segar
Pisang,Buah,Suhu Ruang,1.0,7.3,Matang
Apel,Buah,Pembeku,1.0,27.7,Matang
,Buah,,1.0,4.5,
Wortel,Sayur,Pembeku,2.0,1.8,Busuk
Wortel,Sayur,Suhu Ruang,4.0,8.9,Segar
Tomat,Sayur,Pembeku,2.0,29.3,Segar
Timun,Sayur,Suhu Ruang,0.0,0.9,
Mangga,Buah,,,,Matang
Kentang,Sayur,Pendingin,,,Segar
Cabe,Sayur,Pembeku,2.0,3.0,Busuk
,,,3.0,,Segar
Jeruk,Buah,Suhu Ruang,2.0,3.9,Terlalu Matang
,,Pembeku,500.0,2462.9,N/A
Anggur,Buah,Pembeku,,1.4,Busuk
,Buah,Pendingin,1.0,19.1,
Anggur,Buah,Pendingin,,15.3,Mentah
Cabe,Sayur,Pembeku,1.0,3.8,Busuk
,Buah,Suhu Ruang,,,Matang
Wortel,Sayur,Pendingin,1.0,1.1,Busuk
Anggur,Buah,Pendingin,1.0,8.0,Terlalu Matang
Cabe,Sayur,Pendingin,6.0,11.7,Segar
Anggur,Buah,Pendingin,1.0,1.6,Busuk
Apel,,,,37.1,Mentah
Pisang,Buah,Pembeku,0.0,12.0,Terlalu Matang
Kentang,Sayur,Pendingin,4.0,24.9,Segar
Tomat,Sayur,Pendingin,1000.0,3226.1,Segar
Kentang,Sayur,Suhu Ruang,5.0,20.3,Segar
Wortel,Sayur,Pendingin,0.0,2.0,Busuk
Pisang,Buah,Pendingin,0.0,0.3,Busuk
Wortel,Sayur,Suhu Ruang,1784.0,4241.7,Segar
Timun,Sayur,Pendingin,2.0,2.5,Busuk
Jeruk,Buah,Suhu Ruang,2.0,11.6,Matang
Pisang,Buah,Pembeku,2.0,7.7,Terlalu Matang
Tomat,Sayur,Suhu Ruang,0.0,1.4,Busuk
,Buah,Pendingin,1.0,,Busuk
Mangga,Buah,Pendingin,3.0,4.0,Terlalu Matang
Apel,Buah,Suhu Ruang,3.0,3.7,Terlalu Matang
Tomat,Sayur,Pembeku,1.0,4.3,Busuk
Apel,Buah,Suhu Ruang,5.0,15.3,Mentah
Wortel,Sayur,Pendingin,4.0,17.1,1
Pisang,Buah,Pendingin,1.0,5.3,Terlalu Matang
Apel,Buah,Pembeku,1.0,35.4,Mentah
UNKNOWN,Sayur,Suhu Ruang,2.0,1.2,Busuk
Wortel,Sayur,Pembeku,-99.0,239.7,Expired
Cabe,Sayur,Pembeku,6.0,37.5,Tidak Diketahui
Pisang,Buah,Pendingin,2.0,8.2,Matang
Wortel,Sayur,Suhu Ruang,1.0,1.6,Busuk
Mangga,Buah,Pendingin,2.0,4.1,Terlalu Matang
Kentang,Sayur,Pembeku,6.0,37.4,Segar
Wortel,Sayur,Pendingin,2.0,3.0,Busuk
Anggur,Buah,Suhu Ruang,0.0,3.7,Terlalu Matang
Apel,Buah,Pendingin,2.0,14.2,Matang
Timun,Sayur,Suhu Ruang,0.0,0.6,Busuk
Timun,Sayur,Pendingin,1.0,10.7,Segar
Anggur,Buah,Pendingin,0.0,27.2,Mentah
Anggur,Buah,Pendingin,2.0,7.6,Terlalu Matang
,Buah,Pendingin,500.0,2118.9,Expired
Mangga,Buah,Pendingin,6.0,16.5,Mentah
Apel,Buah,Pembeku,3.0,27.1,Matang
Timun,Sayur,Suhu Ruang,0.0,4.8,Segar
Apel,Buah,Suhu Ruang,4.0,10.5,Matang
Anggur,Buah,Suhu Ruang,6.0,7.1,Mentah
Kentang,Sayur,Pendingin,3.0,35.5,Segar
Tomat,Sayur,Suhu Ruang,6.0,10.3,Segar
Cabe,Sayur,Pendingin,2.0,2.1,Busuk
Mangga,Buah,Pembeku,1.0,0.2,Busuk
Mangga,Buah,Pendingin,1.0,18.2,Mentah
Tomat,Sayur,Suhu Ruang,1.0,0.6,Busuk
buah123,Ikan,Suhu Ruang,2.0,0.3,Busuk
Anggur,Buah,Pembeku,0.0,,Busuk
Cabe,Sayur,Suhu Ruang,1.0,1.5,
Wortel,Sayur,Pendingin,1.0,4.7,Busuk
Apel,Buah,Suhu Ruang,2.0,10.6,Mentah
Pisang,Buah,Pendingin,5.0,13.6,Matang
Tomat,Sayur,Pendingin,2.0,1.0,Busuk
Apel,Buah,Pembeku,1.0,4.5,Busuk
Mangga,Buah,Pendingin,8363.0,9960.7,Terlalu Matang
Pisang,Buah,Suhu Ruang,6.0,6.7,Mentah
Timun,Sayur,Pendingin,1.0,0.6,Busuk
Kentang,Sayur,Pembeku,2.0,4.2,Busuk
Pisang,Buah,Suhu Ruang,3.0,2.9,Terlalu Matang
Apel,Buah,Suhu Ruang,0.0,0.2,Busuk
,Sayur,Pendingin,6.0,33.7,Segar
Timun,Sayur,Pembeku,6.0,18.8,Segar
Anggur,Buah,Suhu Ruang,1.0,0.1,Busuk
Kentang,Sayur,Pendingin,1.0,2.3,Busuk
Pisang,Buah,Suhu Ruang,0.0,5.8,Matang
Cabe,Sayur,Suhu Ruang,2.0,0.9,Busuk
Pisang,Buah,Suhu Ruang,1.0,2.1,Terlalu Matang
Anggur,Buah,Pembeku,3.0,35.5,Mentah
,Buah,Pendingin,1.0,0.1,Busuk
Jeruk,Buah,Pendingin,2.0,6.0,Terlalu Matang
Jeruk,Buah,Suhu Ruang,2.0,17.9,Mentah
Kentang,Sayur,Pendingin,0.0,5.5,Busuk
Jeruk,Buah,Pendingin,0.0,1.8,Busuk
,Buah,Pendingin,0.0,,Terlalu Matang
Timun,Sayur,Pendingin,3.0,23.2,Segar
Pisang,Buah,Pembeku,0.0,23.3,Matang
Mangga,Buah,Pendingin,2.0,13.7,Mentah
,Buah,Pembeku,1.0,0.1,
Pisang,Buah,Suhu Ruang,4.0,7.8,Matang
Timun,Sayur,Suhu Ruang,0.0,9.9,Segar
Cabe,Sayur,Pendingin,1.0,1.1,Busuk
Kentang,Sayur,Suhu Ruang,2.0,1.5,Busuk
,,Pembeku,1.0,18.9,
Timun,Sayur,Pendingin,2.0,9.4,Segar
Cabe,Sayur,Pembeku,0.0,6.5,Busuk
Apel,Buah,Pembeku,3.0,13.1,Terlalu Matang
Kentang,Sayur,Suhu Ruang,1.0,1.9,Busuk
Mangga,Buah,Suhu Ruang,1.0,0.0,Busuk
Timun,Sayur,Suhu Ruang,2.0,0.3,Busuk
Timun,Sayur,Suhu Ruang,6.0,4.8,Segar
Apel,Buah,Pembeku,0.0,17.5,Terlalu Matang
Timun,Sayur,Pembeku,5.0,32.2,Segar
Mangga,Buah,Suhu Ruang,1.0,7.1,Matang
Apel,Buah,Pembeku,1.0,41.0,Mentah
Wortel,Sayur,Pendingin,2.0,25.4,Segar
Pisang,Buah,Suhu Ruang,5.0,5.9,Mentah
Anggur,Buah,Pembeku,0.0,13.3,Terlalu Matang
Tomat,Sayur,Pembeku,2.0,2.6,Busuk
Timun,Sayur,Suhu Ruang,0.0,1.1,Busuk
Timun,Sayur,Pendingin,0.0,1.5,Busuk
Cabe,Sayur,Suhu Ruang,1.0,1.8,Busuk
Kentang,Sayur,Suhu Ruang,0.0,1.2,Busuk
-,Sayur,Suhu Ruang,0.0,1.0,Busuk
Apel,Buah,Suhu Ruang,1.0,10.5,Mentah
Tomat,Sayur,Pembeku,4.0,27.5,Segar
Kentang,Sayur,Pendingin,1.0,33.4,Segar
Wortel,Sayur,Pendingin,1.0,0.3,Busuk
Jeruk,Buah,Suhu Ruang,3.0,7.2,Matang
Kentang,Sayur,Pendingin,0.0,2.0,Busuk
Jeruk,Ikan,Suhu Ruang,3.0,7.2,Matang
Kentang,Sayur,Suhu Ruang,1.0,1.5,Busuk
Pisang,Buah,Suhu Ruang,3.0,2.9,Terlalu Matang
Cabe,Sayur,Pendingin,2.0,0.1,Busuk
Kentang,Sayur,Pendingin,1.0,4.3,Busuk
Anggur,Buah,Pendingin,1.0,14.1,Matang
Wortel,Sayur,Pembeku,0.0,4.2,Busuk
Wortel,Sayur,Suhu Ruang,2.0,0.2,Busuk
Pisang,Buah,Pendingin,3.0,10.2,Matang
Apel,Buah,Pembeku,-489.0,-120.9,Mentah
Mangga,Buah,Pendingin,-798.0,-364.6,Matang
Timun,Sayur,Suhu Ruang,0.0,0.8,Busuk
Wortel,Sayur,Suhu Ruang,0.0,,
Anggur,Buah,Suhu Ruang,0.0,2.9,Terlalu Matang
Mangga,Buah,Suhu Ruang,1.0,10.2,Mentah
Tomat,Sayur,Suhu Ruang,-5.0,1025.5,Busuk
Anggur,Buah,Pembeku,1.0,0.2,Busuk
Timun,Sayur,Suhu Ruang,0.0,9.7,Segar
Kentang,Sayur,Suhu Ruang,3.0,11.8,Segar
Pisang,Buah,Pembeku,0.0,3936.9,Busuk
Wortel,Sayur,Pendingin,6.0,32.4,Segar
Mangga,Buah,Suhu Ruang,0.0,3341.4,Busuk
Tomat,Sayur,Suhu Ruang,1.0,10.1,Segar
Anggur,Buah,Pembeku,0.0,28.2,Mentah
Tomat,Sayur,Suhu Ruang,2.0,1.0,Busuk
Cabe,Sayur,Suhu Ruang,1.0,1.8,Busuk
Apel,Buah,Pembeku,2.0,12.4,Terlalu Matang
Anggur,Buah,Pembeku,3.0,25.0,Matang
Cabe,Sayur,,0.0,0.5,Busuk
,,,3.0,,Segar
Wortel,Sayur,Pembeku,5.0,31.0,Segar
Anggur,Buah,Suhu Ruang,2.0,3.1,Terlalu Matang
Pisang,Buah,Suhu Ruang,4.0,6.3,Matang
Anggur,Buah,Pendingin,1.0,6.4,Terlalu Matang
Wortel,Sayur,Pendingin,2.0,2.6,Busuk
Tomat,Sayur,Pendingin,0.0,2.8,Busuk
Apel,Buah,Luar Ruangan,2.0,6.6,Matang
Wortel,,,2.0,,Busuk
Anggur,Buah,Pendingin,5.0,15.3,Mentah
Wortel,Sayur,Pembeku,0.0,4287.6,Busuk
Kentang,Sayur,Suhu Ruang,1.0,8.6,Segar
Pisang,Buah,Pembeku,3.0,16.0,Matang
Mangga,Buah,Pembeku,3.0,8.2,Terlalu Matang
Kentang,Sayur,Suhu Ruang,2.0,8.8,Segar
Timun,Sayur,Suhu Ruang,1.0,0.6,Busuk
Cabe,Sayur,Pendingin,3.0,13.9,Segar
Timun,Sayur,Pendingin,1.0,2.6,Busuk
Tomat,Sayur,Suhu Ruang,3.0,4.2,Segar
Tomat,Sayur,Pembeku,0.0,1.3,Busuk
Cabe,Sayur,Suhu Ruang,6.0,7.6,Segar
Timun,Sayur,Suhu Ruang,0.0,0.7,Busuk
Mangga,Buah,Suhu Ruang,1.0,10.0,Mentah
Apel,Buah,Pendingin,3.0,8.8,Terlalu Matang
Apel,Buah,Pendingin,4.0,16.1,Matang
Pisang,Buah,Pembeku,0.0,31.2,Mentah
,Buah,Pembeku,1.0,,Terlalu Matang
Mangga,Buah,Pembeku,1.0,0.6,Busuk
Apel,Buah,Suhu Ruang,1.0,15.6,Mentah
Pisang,Buah,Pembeku,2.0,19.2,Matang
Mangga,Buah,Pembeku,1.0,,Terlalu Matang
Mangga,Buah,Pembeku,0.0,13.1,Terlalu Matang
Wortel,Sayur,Suhu Ruang,0.0,0.3,Busuk
Jeruk,Buah,Pendingin,6.0,31.9,Mentah
Mangga,Buah,Suhu Ruang,2.0,5.8,Matang
,,Pendingin,0.0,,Busuk
Pisang,Buah,Pembeku,4.0,19.5,Matang
Timun,,Pendingin,2.0,,
Jeruk,Buah,Pendingin,1.0,6.1,Terlalu Matang
Wortel,Sayur,Pendingin,2.0,1.3,Busuk
Wortel,Sayur,Suhu Ruang,0.0,2.5,Busuk
Apel,Buah,Pembeku,0.0,9.9,Terlalu Matang
Mangga,Buah,Suhu Ruang,6.0,9.8,Mentah
Apel,Buah,Pendingin,1.0,0.1,Busuk
Timun,Sayur,Pembeku,2.0,2.4,Busuk
Cabe,Sayur,Suhu Ruang,2314.0,4609.4,Busuk
Mangga,Buah,Pendingin,0.0,3250.8,Mentah
Mangga,Buah,Pembeku,3.0,7.8,Terlalu Matang
Timun,Sayur,Suhu Ruang,3.0,7.1,Segar
Mangga,Buah,Suhu Ruang,3.0,10.2,Mentah
Cabe,Sayur,,,7.1,Segar
Jeruk,Buah,Pendingin,0.0,10.2,
Jeruk,Buah,Pembeku,1.0,12.4,Terlalu Matang
Wortel,Sayur,Pendingin,5.0,29.3,Segar
Mangga,Buah,Suhu Ruang,3.0,5.8,Matang
Pisang,Buah,Pembeku,0.0,0.7,Busuk
Pisang,Buah,Pembeku,5.0,31.2,Matang
Timun,Sayur,Pendingin,6.0,15.4,Segar
Jeruk,Buah,,1.0,23.1,
Kentang,Sayur,Pendingin,1.0,3.0,Busuk
Anggur,Buah,Pendingin,2.0,17.4,Matang
Cabe,Sayur,Pembeku,1.0,6.6,Busuk
Tomat,Sayur,Pembeku,2.0,41.9,Segar
Wortel,Sayur,Suhu Ruang,2.0,0.4,Busuk
Apel,Buah,Pembeku,3.0,14.8,Terlalu Matang
Tomat,Sayur,Pembeku,6.0,32.3,Segar
Mangga,Buah,Suhu Ruang,5.0,6.6,Mentah
Pisang,Buah,Pembeku,2.0,20.2,Matang
Cabe,Sayur,,,,Busuk
Cabe,Sayur,Pembeku,1.0,5.4,Busuk
Apel,Buah,Suhu Ruang,0.0,0.9,Busuk
Tomat,Sayur,Pembeku,3.0,19.0,Segar
Jeruk,Buah,Pendingin,0.0,0.5,Busuk
Tomat,Sayur,Pembeku,3.0,17.5,Segar
Wortel,Sayur,Pendingin,2.0,0.0,Busuk
Wortel,Sayur,Suhu Ruang,-5.0,4273.4,Busuk
Mangga,Buah,Suhu Ruang,5.0,4.6,Matang
Tomat,Sayur,Suhu Ruang,1.0,0.1,Busuk
Kentang,Sayur,Pembeku,0.0,9.7,Busuk
,Buah,Pembeku,,,Mentah
buah123,Buah,Pembeku,1.0,12.4,Terlalu Matang
,,Suhu Ruang,3.0,3.5,
Timun,Sayur,Suhu Ruang,5.0,7.4,Segar
Wortel,Sayur,Suhu Ruang,-99.0,1510.3,Expired
,,Suhu Ruang,,0.6,Busuk
Timun,Sayur,Suhu Ruang,1.0,0.2,Busuk
Wortel,Sayur,?,4.0,6.9,Segar
Mangga,Buah,Pendingin,0.0,0.9,Busuk
Mangga,Buah,Pendingin,3.0,6.7,Terlalu Matang
Wortel,Sayur,Pendingin,5.0,38.4,Segar
Wortel,Sayur,Pendingin,4.0,35.1,Segar
Tomat,Sayur,Pendingin,7260.0,1772.2,Segar
Pisang,Buah,Suhu Ruang,3.0,5.7,Mentah
Cabe,Sayur,,,3.2,Busuk
Apel,Buah,Suhu Ruang,2.0,9.0,Matang
Anggur,Buah,Pendingin,-5.0,3382.7,Matang
,Buah,Lemari,6.0,40.3,Mentah
Mangga,Buah,Suhu Ruang,0.0,0.5,Busuk
Anggur,Buah,Pendingin,6.0,26.0,Mentah
Cabe,Sayur,Suhu Ruang,1.0,13.1,Segar
Cabe,Sayur,Suhu Ruang,0.0,14.0,Segar
,Buah,Suhu Ruang,,9.6,
Pisang,Buah,Pendingin,0.0,1.3,Busuk
Kentang,Sayur,Pendingin,1.0,2.5,Busuk
Apel,Buah,Pendingin,2.0,5.4,Terlalu Matang
Anggur,Buah,Pembeku,0.0,3.2,Busuk
Mangga,Buah,Pendingin,6.0,15.7,Mentah
Kentang,Sayur,Pendingin,1.0,38.8,Segar
Wortel,Sayur,Suhu Ruang,6.0,14.3,1
Apel,Buah,Suhu Ruang,1.0,0.4,Busuk
Cabe,Sayur,Pendingin,2.0,,
Tomat,,,1.0,0.6,
Kentang,Sayur,Suhu Ruang,3.0,7.5,1
Wortel,Sayur,Pendingin,2.0,4.6,Busuk
Mangga,Buah,Pembeku,2.0,26.0,Mentah
Anggur,Buah,Suhu Ruang,9754.0,5143.4,Busuk
Pisang,Buah,Pendingin,5.0,9.0,Matang
Timun,Sayur,Lemari,2.0,1.1,Busuk
Mangga,Buah,Suhu Ruang,1.0,3.1,Terlalu Matang
Apel,Buah,Pembeku,3.0,17.9,Terlalu Matang
Kentang,,Pembeku,,10.9,Busuk
Wortel,Sayur,Pendingin,-378.0,-855.5,Segar
Mangga,Buah,Pembeku,2.0,28.1,Matang
Pisang,Buah,Pembeku,1.0,2.3,Busuk
Wortel,Sayur,Pendingin,0.0,16.0,Segar
Timun,Sayur,Pembeku,5.0,24.1,Segar
Anggur,Buah,Pendingin,5.0,20.6,Mentah
Pisang,Buah,Suhu Ruang,5.0,6.9,Mentah
Kentang,,,2.0,2.4,Busuk
Timun,Sayur,Pendingin,0.0,2.8,Busuk
Tomat,Sayur,Pembeku,6.0,33.2,Segar
Cabe,Sayur,Suhu Ruang,5.0,10.0,Expired
Cabe,Sayur,Suhu Ruang,5.0,11.4,Segar
Anggur,Buah,Pembeku,0.0,2.9,Busuk
Apel,Buah,Suhu Ruang,0.0,4.2,Terlalu Matang
Timun,Sayur,Pembeku,0.0,6.8,Busuk
Apel,Buah,Pendingin,4.0,22.9,Matang
Cabe,Sayur,Pendingin,2.0,1.0,Busuk
Wortel,Sayur,Pembeku,1.0,40.4,Segar
Apel,Buah,Suhu Ruang,3.0,2.8,OK
##ERROR##,Sayur,Pendingin,1.0,1.1,Busuk
Pisang,Buah,Pendingin,0.0,0.7,Busuk
Anggur,Buah,Suhu Ruang,1.0,2.4,Terlalu Matang
Mangga,Buah,Suhu Ruang,1.0,0.5,Busuk
Timun,Sayur,Pendingin,2.0,9.4,Segar
Timun,Sayur,Pendingin,0.0,3.1,Busuk
Tomat,Sayur,Pembeku,1.0,6.2,Busuk
Tomat,Sayur,Suhu Ruang,2.0,1.0,Busuk
Cabe,Sayur,Pembeku,0.0,6.5,Tidak Diketahui
Cabe,Sayur,Suhu Ruang,0.0,1.1,Busuk
,Buah,Pendingin,1.0,,Busuk
Wortel,Sayur,Pembeku,5.0,34.8,Segar
Apel,Buah,Pembeku,5.0,31.9,Matang
Wortel,Sayur,Pendingin,-899.0,-197.1,Busuk
Kentang,,Pembeku,,39.4,
Timun,Sayur,Pendingin,0.0,1.8,Busuk
Apel,Buah,Pendingin,5.0,27.8,Mentah
Kentang,Sayur,Suhu Ruang,1.0,0.4,Busuk
Wortel,Sayur,Luar Ruangan,0.0,2.4,Busuk
Tomat,Sayur,Pendingin,0.0,2.5,Busuk
Apel,Buah,Suhu Ruang,5.0,11.8,Mentah
Kentang,Sayur,,2.0,8.7,Busuk
Wortel,Sayur,,9999.0,1732.7,Expired
Cabe,Sayur,Pembeku,2.0,35.3,Segar
Tomat,Sayur,Suhu Ruang,2.0,1.0,Busuk
Cabe,Sayur,Pembeku,1.0,1.7,Busuk
Wortel,Sayur,Suhu Ruang,0.0,0.0,Busuk
Timun,Sayur,Pembeku,1.0,39.9,Segar
Apel,Buah,Suhu Ruang,0.0,,
Cabe,Sayur,Suhu Ruang,6.0,12.9,Segar
Wortel,Daging,Suhu Ruang,0.0,2.5,Busuk
Mangga,Buah,,0.0,17.1,Mentah
Anggur,Buah,Pendingin,1000.0,1387.1,Terlalu Matang
Pisang,Buah,Pembeku,2.0,18.8,Matang
Timun,Sayur,Pendingin,2.0,1.3,Busuk
Apel,Buah,,0.0,,
,,,,0.6,Busuk
Mangga,Buah,Pembeku,1.0,34.9,Matang
Anggur,Buah,Suhu Ruang,0.0,2.4,Terlalu Matang
Cabe,Sayur,Suhu Ruang,0.0,4.6,Expired
Timun,Sayur,Suhu Ruang,1.0,0.2,Busuk
Pisang,Buah,Pendingin,5.0,21.4,Mentah
Timun,Sayur,Suhu Ruang,-161.0,-654.2,Busuk
Pisang,Buah,Pembeku,0.0,7.0,Terlalu Matang
Timun,Sayur,Suhu Ruang,0.0,9.9,Segar
Anggur,Buah,Pembeku,0.0,1.2,Busuk
Kentang,Sayur,Suhu Ruang,1.0,20.5,Segar
Cabe,Sayur,Pembeku,3.0,35.2,Segar
Apel,Buah,Pembeku,-165.0,-456.6,Busuk
Timun,Sayur,,,10.6,Segar
Apel,Buah,Pembeku,0.0,1.5,Busuk
Anggur,Buah,Suhu Ruang,2.0,9.9,Matang
Kentang,Sayur,Suhu Ruang,3.0,9.2,Segar
Cabe,Sayur,Pendingin,2.0,18.6,Segar
Jeruk,Buah,Suhu Ruang,1.0,0.3,Busuk
Jeruk,Buah,Pembeku,-616.0,-7.2,Terlalu Matang
Cabe,Sayur,Pembeku,0.0,7.9,Busuk
Pisang,Buah,Pendingin,0.0,0.6,Busuk
Pisang,Buah,,,2.7,Terlalu Matang
Jeruk,Buah,Pembeku,0.0,16.3,Terlalu Matang
Pisang,Buah,Pendingin,0.0,4.6,Terlalu Matang
Pisang,Buah,Pendingin,4.0,14.8,Matang
Apel,Buah,Pembeku,311.0,2977.2,Terlalu Matang
,Sayur,Pendingin,,10.8,
Timun,Sayur,Pendingin,2.0,16.6,Segar
Kentang,Sayur,Suhu Ruang,0.0,0.0,Busuk
Anggur,Buah,Suhu Ruang,1.0,6.6,null
Mangga,Buah,Pendingin,500.0,1658.5,N/A
Anggur,Buah,Pembeku,0.0,2.4,Busuk
Wortel,Sayur,Pendingin,9999.0,491.6,N/A
Kentang,??,Suhu Ruang,0.0,1.9,Busuk
Timun,Sayur,Pembeku,2.0,40.0,Segar
Kentang,Sayur,Pembeku,-99.0,1949.0,null
Tomat,Sayur,Pendingin,0.0,1.5,Busuk
Timun,Sayur,Pembeku,1.0,6.5,Busuk
Apel,Buah,Pembeku,500.0,312.1,N/A
Pisang,Buah,Suhu Ruang,1.0,5.9,Matang
Mangga,Buah,Suhu Ruang,0.0,0.2,Busuk
Jeruk,Buah,Pendingin,1.0,1.0,Busuk
Apel,Buah,Suhu Ruang,5.0,10.8,Matang
Pisang,Buah,Pembeku,0.0,0.2,Busuk
Timun,Sayur,Pembeku,0.0,4.3,Busuk
,Sayur,Suhu Ruang,,,Busuk
Kentang,Sayur,Suhu Ruang,1.0,19.5,Segar
Anggur,Buah,Suhu Ruang,0.0,8.5,Matang
Timun,Sayur,Pembeku,0.0,2.4,Busuk
Cabe,Sayur,Pendingin,3.0,29.2,Segar
Tomat,Sayur,,2.0,,
Mangga,Buah,Suhu Ruang,9999.0,1694.7,N/A
Mangga,Buah,Pembeku,1.0,33.6,Mentah
Apel,Buah,Pembeku,0.0,1144.6,Busuk
Jeruk,Buah,Pendingin,0.0,6.0,Terlalu Matang
Kentang,Sayur,Pendingin,3282.0,8143.4,Busuk
Kentang,Sayur,Pembeku,-762.0,-161.2,Busuk
Jeruk,Buah,Suhu Ruang,3.0,5.0,Terlalu Matang
,Buah,Pembeku,,1.0,Busuk
Apel,Buah,Suhu Ruang,1.0,6.1,Matang
Pisang,Buah,Pembeku,3.0,40.0,Mentah
Pisang,Buah,Suhu Ruang,1.0,7.4,Matang
Anggur,Buah,Suhu Ruang,1.0,3.9,Terlalu Matang
Timun,Sayur,Pembeku,3.0,32.2,Segar
Wortel,Sayur,Suhu Ruang,0.0,0.7,Busuk
Tomat,Sayur,Pendingin,1.0,2.9,Busuk
Apel,Buah,Pendingin,1.0,0.1,Busuk
Wortel,Sayur,Pembeku,0.0,0.8,Busuk
Cabe,Sayur,Pendingin,1.0,2.0,Busuk
Kentang,Sayur,Suhu Ruang,0.0,2.0,Busuk
Apel,Buah,Pendingin,1.0,5.7,Terlalu Matang
Cabe,Sayur,Pembeku,2.0,4.7,Busuk
Tomat,Sayur,Suhu Ruang,1.0,0.1,Busuk
Apel,Buah,Pendingin,0.0,8.6,Terlalu Matang
Wortel,Sayur,Suhu Ruang,1.0,0.5,Busuk
Pisang,Buah,Pendingin,0.0,16.7,Mentah
Anggur,Buah,Pembeku,0.0,2.2,Busuk
Wortel,Sayur,Pendingin,2.0,,Busuk
Apel,Buah,Suhu Ruang,4.0,12.3,Mentah
Mangga,Buah,Pembeku,0.0,13.4,Terlalu Matang
Wortel,Sayur,Pendingin,0.0,1.4,Busuk
Timun,Sayur,Pendingin,4.0,16.9,Segar
Mangga,Buah,Pendingin,2.0,15.8,Mentah
Jeruk,Buah,Pendingin,1.0,1.0,Busuk
Pisang,Buah,Pembeku,1.0,23.6,Matang
Kentang,Sayur,Pendingin,1.0,1.8,Busuk
Apel,Buah,Suhu Ruang,3.0,2.8,Terlalu Matang
Cabe,Sayur,Pendingin,1.0,2.3,Busuk
Wortel,Sayur,Suhu Ruang,4.0,13.5,Segar
Wortel,Sayur,Suhu Ruang,4.0,11.2,Segar
Timun,Sayur,Suhu Ruang,2.0,9.5,Segar
Apel,Buah,Pendingin,0.0,2.2,Busuk
Timun,Sayur,Pendingin,2.0,10.6,Segar
Kentang,Sayur,Pembeku,1.0,8.0,Busuk
Jeruk,Buah,Suhu Ruang,2.0,14.7,Mentah
Tomat,Sayur,Pendingin,2.0,1.1,Busuk
Tomat,Sayur,Pendingin,7701.0,1516.1,Segar
Kentang,Sayur,Pendingin,2.0,3.8,Busuk
Wortel,Sayur,Pendingin,-540.0,-130.3,Busuk
Jeruk,,Pendingin,-99.0,2119.0,null
Timun,Sayur,Suhu Ruang,2.0,1.2,Busuk
Anggur,Buah,Pendingin,2.0,16.9,Mentah
Pisang,Buah,Suhu Ruang,3.0,7.7,Matang
Tomat,Sayur,Suhu Ruang,2.0,1.3,Busuk
Timun,Sayur,Pendingin,3.0,14.1,Segar
Timun,Sayur,Pembeku,1.0,20.8,Segar
Pisang,Buah,Pendingin,2.0,15.0,Matang
Kentang,Sayur,Pendingin,1.0,40.6,Segar
Mangga,Buah,Pembeku,4.0,38.9,Mentah
