nama_item,jenis_item,lokasi_penyimpanan,hari_sejak_pembelian,sisa_hari,label,cara_simpan
Bawang Merah,Sayuran Akar,Suhu Ruang,12,18,Segar,Simpan Bawang Merah di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Cabai Merah,Cabai & Paprika,Pembeku,60,-9,Kadaluwarsa,Pastikan Cabai Merah sudah bersih dan kering sebelum dibekukan di freezer.
Kol,Sayuran Hijau,Pembeku,25,5,Segar,Pastikan Kol sudah bersih dan kering sebelum dibekukan di freezer.
Wortel,Sayuran Akar,Pembeku,60,16,Segar,Pastikan Wortel sudah bersih dan kering sebelum dibekukan di freezer.
Semangka,Buah Tropis,Pembeku,23,7,Segar,Simpan Semangka dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Alpukat,Buah Tropis,Pendingin,5,2,Segera,Gunakan wadah tertutup saat menyimpan Alpukat di rak kulkas.
Lemon,Sayuran Akar,Pembeku,38,22,Segar,Simpan Lemon dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Anggur,Buah Iklim Sedang,Pendingin,2,5,Segar,Bungkus Anggur dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Jeruk,Buah Sitrus,Pendingin,17,4,Segar,Gunakan wadah tertutup saat menyimpan Jeruk di rak kulkas.
Jeruk Nipis,Buah Sitrus,Suhu Ruang,3,4,Segar,Simpan Jeruk Nipis di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Lemon,Buah Sitrus,Pendingin,3,18,Segar,Bungkus Lemon dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Kunyit,Sayuran Akar,Pendingin,,28,Segar,Gunakan wadah tertutup saat menyimpan Kunyit di rak kulkas.
Nanas,Buah Tropis,Pembeku,2,28,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Nanas tetap awet.
Jeruk Nipis,Buah Sitrus,Pendingin,15,-1,Kadaluwarsa,Gunakan wadah tertutup saat menyimpan Jeruk Nipis di rak kulkas.
Bayam,Sayuran Hijau,Pembeku,19,11,Segar,Simpan Bayam dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Singkong,Sayuran Akar,Pendingin,2,5,Segar,Gunakan wadah tertutup saat menyimpan Singkong di rak kulkas.
Jahe,Sayuran Akar,Pembeku,60,9,Segar,Simpan Jahe dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Wortel,Sayuran Akar,Pendingin,1,20,Segar,Gunakan wadah tertutup saat menyimpan Wortel di rak kulkas.
Kunyit,Sayuran Akar,Pendingin,33,-3,Kadaluwarsa,Bungkus Kunyit dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Kangkung,Sayuran Hijau,Pendingin,4,0,Kadaluwarsa,Bungkus Kangkung dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Nanas,Buah Tropis,Pembeku,17,13,Segar,Simpan Nanas dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Bawang Putih,Sayuran Akar,Pendingin,60,-17,Kadaluwarsa,Bungkus Bawang Putih dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Bawang Merah,Sayuran Akar,Pembeku,60,27,Segar,Pastikan Bawang Merah sudah bersih dan kering sebelum dibekukan di freezer.
Pepaya,Sayuran Akar,Pembeku,1,29,Segar,Simpan Pepaya dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
RaspBuah Beri,Buah Beri,Pembeku,15,6,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi RaspBuah Beri tetap awet.
Kunyit,Sayuran Akar,Pendingin,30,0,Kadaluwarsa,Simpan Kunyit di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Kunyit,Sayuran Akar,Pembeku,2,28,Segar,Pastikan Kunyit sudah bersih dan kering sebelum dibekukan di freezer.
Pakcoy,Sayuran Hijau,Pendingin,0,5,Segar,Bungkus Pakcoy dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Ubi Jalar,Sayuran Akar,Pembeku,60,8,Segar,Simpan Ubi Jalar dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Tomat,Buah Tropis,Pendingin,8,6,Segar,Simpan Tomat di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Kentang,Sayuran Akar,Pembeku,10,4,Segar,Simpan Kentang dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Bawang Merah,Sayuran Akar,Pendingin,11,37,Segar,Gunakan wadah tertutup saat menyimpan Bawang Merah di rak kulkas.
Pear,Buah Iklim Sedang,Pembeku,26,34,Segar,Pastikan Pear sudah bersih dan kering sebelum dibekukan di freezer.
RaspBuah Beri,Buah Beri,Pembeku,16,5,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi RaspBuah Beri tetap awet.
Jeruk Bali,Buah Sitrus,Suhu Ruang,1,13,Segar,Pastikan Jeruk Bali berada di area kering agar tidak cepat lembap dan busuk.
Kentang,Sayuran Akar,Pembeku,60,-20,Kadaluwarsa,Gunakan wadah khusus freezer untuk menjaga nutrisi Kentang tetap awet.
Kiwi,Buah Iklim Sedang,Pembeku,41,19,Segar,Simpan Kiwi dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Semangka,Buah Tropis,Suhu Ruang,1,6,Segar,Letakkan Semangka di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Sawi,Sayuran Hijau,Pembeku,8,22,Segar,Pastikan Sawi sudah bersih dan kering sebelum dibekukan di freezer.
Kiwi,Buah Iklim Sedang,Suhu Ruang,6,-1,Kadaluwarsa,Letakkan Kiwi di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Jeruk Nipis,Buah Sitrus,Suhu Ruang,8,-1,Kadaluwarsa,Simpan Jeruk Nipis di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Jeruk Bali,Sayuran Akar,Pembeku,,27,Segar,Pastikan Jeruk Bali sudah bersih dan kering sebelum dibekukan di freezer.
BlueBuah Beri,Buah Beri,Pembeku,5,25,Segar,Pastikan BlueBuah Beri sudah bersih dan kering sebelum dibekukan di freezer.
Stroberi,Buah Beri,Pembeku,7,23,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Stroberi tetap awet.
Cabai Merah,Cabai & Paprika,Pendingin,,10,Segar,Gunakan wadah tertutup saat menyimpan Cabai Merah di rak kulkas.
Bawang Putih,Sayuran Akar,Pendingin,26,37,Segar,Simpan Bawang Putih di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Bawang Putih,Sayuran Akar,Pendingin,60,11,Segar,Simpan Bawang Putih di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Pakcoy,Sayuran Hijau,Pendingin,2,3,Segera,Bungkus Pakcoy dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Melon,Buah Tropis,Pendingin,7,0,Kadaluwarsa,Gunakan wadah tertutup saat menyimpan Melon di rak kulkas.
Anggur,Sayuran Akar,Pendingin,0,7,Segar,Gunakan wadah tertutup saat menyimpan Anggur di rak kulkas.
RaspBuah Beri,Buah Beri,Suhu Ruang,0,2,Segera,Simpan RaspBuah Beri di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Apel,Buah Iklim Sedang,Pendingin,27,-6,Kadaluwarsa,Gunakan wadah tertutup saat menyimpan Apel di rak kulkas.
Seledri,Sayuran Hijau,Pembeku,7,14,Segar,Simpan Seledri dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Selada,Sayuran Hijau,Pendingin,4,3,Segera,Bungkus Selada dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Paprika,Cabai & Paprika,Pendingin,13,1,Segera,Gunakan wadah tertutup saat menyimpan Paprika di rak kulkas.
Kiwi,Buah Iklim Sedang,Pembeku,16,37,Segar,Simpan Kiwi dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Ubi Jalar,Sayuran Akar,Suhu Ruang,5,9,Segar,Simpan Ubi Jalar di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Bayam,Sayuran Hijau,Pembeku,27,3,Segera,Simpan Bayam dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Pakcoy,Sayuran Hijau,Pembeku,8,13,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Pakcoy tetap awet.
Pepaya,Buah Tropis,Pembeku,12,18,Segar,Simpan Pepaya dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
BlueBuah Beri,Buah Beri,Pembeku,34,-4,Kadaluwarsa,Pastikan BlueBuah Beri sudah bersih dan kering sebelum dibekukan di freezer.
Paprika,Cabai & Paprika,Suhu Ruang,0,5,Segar,Pastikan Paprika berada di area kering agar tidak cepat lembap dan busuk.
Pear,Buah Iklim Sedang,Suhu Ruang,4,1,Segera,Pastikan Pear berada di area kering agar tidak cepat lembap dan busuk.
Seledri,Sayuran Hijau,Pendingin,6,1,Segera,Bungkus Seledri dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Tomat,Buah Tropis,Pembeku,8,37,Segar,Pastikan Tomat sudah bersih dan kering sebelum dibekukan di freezer.
Semangka,Buah Tropis,Suhu Ruang,3,4,Segar,Simpan Semangka di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Jeruk Nipis,Buah Sitrus,Suhu Ruang,0,7,Segar,Letakkan Jeruk Nipis di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Cabai Merah,Cabai & Paprika,Pendingin,17,-3,Kadaluwarsa,Bungkus Cabai Merah dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Paprika,Cabai & Paprika,Pendingin,2,12,Segar,Gunakan wadah tertutup saat menyimpan Paprika di rak kulkas.
Ubi Jalar,Sayuran Akar,Pembeku,60,20,Segar,Simpan Ubi Jalar dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Brokoli,Sayuran Hijau,Pendingin,60,-1,Kadaluwarsa,Bungkus Brokoli dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Alpukat,Buah Tropis,Pembeku,1,12,Segar,Simpan Alpukat dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Seledri,Sayuran Hijau,Pendingin,2,5,Segar,Bungkus Seledri dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Kangkung,Sayuran Hijau,Pembeku,14,16,Segar,Simpan Kangkung dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Kentang,Sayuran Akar,Pendingin,60,19,Segar,Gunakan wadah tertutup saat menyimpan Kentang di rak kulkas.
Selada,Sayuran Hijau,Suhu Ruang,2,0,Kadaluwarsa,Letakkan Selada di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Pepaya,Buah Tropis,Pembeku,3,27,Segar,Pastikan Pepaya sudah bersih dan kering sebelum dibekukan di freezer.
Semangka,Buah Tropis,Pembeku,15,15,Segar,Pastikan Semangka sudah bersih dan kering sebelum dibekukan di freezer.
Jeruk,Buah Sitrus,Pendingin,23,-2,Kadaluwarsa,Gunakan wadah tertutup saat menyimpan Jeruk di rak kulkas.
Jeruk Nipis,Buah Sitrus,Pendingin,5,9,Segar,Gunakan wadah tertutup saat menyimpan Jeruk Nipis di rak kulkas.
Cabai Merah,Cabai & Paprika,Pembeku,49,11,Segar,Pastikan Cabai Merah sudah bersih dan kering sebelum dibekukan di freezer.
Kiwi,Buah Iklim Sedang,Pendingin,5,9,Segar,Gunakan wadah tertutup saat menyimpan Kiwi di rak kulkas.
Nanas,Buah Tropis,Pembeku,36,-6,Kadaluwarsa,Simpan Nanas dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Pakcoy,Sayuran Akar,Pembeku,18,3,Segera,Simpan Pakcoy dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Jeruk Bali,Buah Sitrus,Pembeku,,26,Segar,Simpan Jeruk Bali dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Pear,Buah Iklim Sedang,Pendingin,18,-4,Kadaluwarsa,Simpan Pear di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Wortel,Sayuran Akar,Pendingin,2,19,Segar,Gunakan wadah tertutup saat menyimpan Wortel di rak kulkas.
Jeruk,Buah Sitrus,Pembeku,36,24,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Jeruk tetap awet.
Apel,Buah Iklim Sedang,Suhu Ruang,0,7,Segar,Letakkan Apel di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Kunyit,Sayuran Akar,Pendingin,0,30,Segar,Gunakan wadah tertutup saat menyimpan Kunyit di rak kulkas.
Pepaya,Buah Tropis,Pembeku,36,-6,Kadaluwarsa,Simpan Pepaya dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Kol,Sayuran Hijau,Pendingin,14,0,Kadaluwarsa,Bungkus Kol dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Semangka,Buah Tropis,Pembeku,14,16,Segar,Simpan Semangka dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Jeruk,Buah Sitrus,Suhu Ruang,6,1,Segera,Letakkan Jeruk di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Alpukat,Buah Tropis,Pembeku,6,1,Segera,Gunakan wadah khusus freezer untuk menjaga nutrisi Alpukat tetap awet.
Cabai Merah,Sayuran Akar,Suhu Ruang,0,5,Segar,Simpan Cabai Merah di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Kentang,Sayuran Akar,Pembeku,28,2,Segera,Simpan Kentang dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Lemon,Buah Sitrus,Pendingin,9,12,Segar,Simpan Lemon di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Lemon,Sayuran Akar,Suhu Ruang,4,3,Segera,Simpan Lemon di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Paprika,Cabai & Paprika,Pendingin,10,4,Segar,Gunakan wadah tertutup saat menyimpan Paprika di rak kulkas.
BlueBuah Beri,Buah Beri,Pendingin,3,4,Segar,Gunakan wadah tertutup saat menyimpan BlueBuah Beri di rak kulkas.
RaspBuah Beri,Buah Beri,Pendingin,3,2,Segera,Bungkus RaspBuah Beri dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Jeruk,Buah Sitrus,Pembeku,41,19,Segar,Simpan Jeruk dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Nanas,Buah Tropis,Suhu Ruang,3,-20,Segera,Letakkan Nanas di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Ubi Jalar,Sayuran Akar,Pendingin,15,15,Segar,Bungkus Ubi Jalar dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Bawang Merah,Sayuran Akar,Pendingin,15,37,Segar,Gunakan wadah tertutup saat menyimpan Bawang Merah di rak kulkas.
Kentang,Sayuran Akar,Suhu Ruang,7,7,Segar,Simpan Kentang di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Cabai Merah,Cabai & Paprika,Pembeku,60,0,Kadaluwarsa,Gunakan wadah khusus freezer untuk menjaga nutrisi Cabai Merah tetap awet.
Tomat,Buah Tropis,Pendingin,3,11,Segar,Gunakan wadah tertutup saat menyimpan Tomat di rak kulkas.
Cabai Rawit,Cabai & Paprika,Pembeku,57,3,Segera,Gunakan wadah khusus freezer untuk menjaga nutrisi Cabai Rawit tetap awet.
Jeruk Nipis,Buah Sitrus,Pembeku,7,0,Kadaluwarsa,Pastikan Jeruk Nipis sudah bersih dan kering sebelum dibekukan di freezer.
Kunyit,Sayuran Akar,Pembeku,60,3,Segera,Pastikan Kunyit sudah bersih dan kering sebelum dibekukan di freezer.
Wortel,Sayuran Akar,Pembeku,9,12,Segar,Pastikan Wortel sudah bersih dan kering sebelum dibekukan di freezer.
Pakcoy,Sayuran Hijau,Pembeku,25,-4,Kadaluwarsa,Pastikan Pakcoy sudah bersih dan kering sebelum dibekukan di freezer.
Nanas,Buah Tropis,Pendingin,8,-1,Kadaluwarsa,Bungkus Nanas dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Stroberi,Buah Beri,Suhu Ruang,,1,Segera,Pastikan Stroberi berada di area kering agar tidak cepat lembap dan busuk.
Paprika,Cabai & Paprika,Pendingin,7,7,Segar,Bungkus Paprika dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Jeruk Nipis,Buah Sitrus,Suhu Ruang,5,2,Segera,Pastikan Jeruk Nipis berada di area kering agar tidak cepat lembap dan busuk.
Jeruk Bali,Buah Sitrus,Suhu Ruang,8,6,Segar,Simpan Jeruk Bali di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Anggur,Buah Iklim Sedang,Suhu Ruang,3,0,Kadaluwarsa,Letakkan Anggur di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Jeruk,Buah Sitrus,Pendingin,11,10,Segar,Gunakan wadah tertutup saat menyimpan Jeruk di rak kulkas.
Kiwi,Buah Iklim Sedang,Pendingin,13,1,Segera,Gunakan wadah tertutup saat menyimpan Kiwi di rak kulkas.
Jahe,Sayuran Akar,Pendingin,19,11,Segar,Bungkus Jahe dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Wortel,Sayuran Akar,Pembeku,60,20,Segar,Simpan Wortel dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Pear,Buah Iklim Sedang,Suhu Ruang,3,2,Segera,Pastikan Pear berada di area kering agar tidak cepat lembap dan busuk.
Ubi Jalar,Sayuran Akar,Pembeku,,33,Segar,Pastikan Ubi Jalar sudah bersih dan kering sebelum dibekukan di freezer.
Nanas,Buah Tropis,Pembeku,28,2,Segera,Pastikan Nanas sudah bersih dan kering sebelum dibekukan di freezer.
Nanas,Buah Tropis,Pembeku,,21,Segar,Pastikan Nanas sudah bersih dan kering sebelum dibekukan di freezer.
Jeruk,Buah Sitrus,Pembeku,17,37,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Jeruk tetap awet.
Melon,Buah Tropis,Pembeku,3,27,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Melon tetap awet.
Mangga,Buah Tropis,Pendingin,9,-2,Kadaluwarsa,Simpan Mangga di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Kol,Sayuran Hijau,Pembeku,16,14,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Kol tetap awet.
Kunyit,Sayuran Akar,Pembeku,36,37,Segar,Pastikan Kunyit sudah bersih dan kering sebelum dibekukan di freezer.
Bayam,Sayuran Hijau,Pembeku,37,-7,Kadaluwarsa,Pastikan Bayam sudah bersih dan kering sebelum dibekukan di freezer.
Paprika,Cabai & Paprika,Suhu Ruang,2,3,Segera,Pastikan Paprika berada di area kering agar tidak cepat lembap dan busuk.
Brokoli,Sayuran Hijau,Pendingin,2,8,Segar,Bungkus Brokoli dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Kiwi,Buah Iklim Sedang,Pendingin,3,11,Segar,Bungkus Kiwi dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
BlueBuah Beri,Buah Beri,Pembeku,0,30,Segar,Simpan BlueBuah Beri dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Bawang Merah,Sayuran Akar,Suhu Ruang,36,-6,Kadaluwarsa,Simpan Bawang Merah di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Brokoli,Sayuran Akar,Pendingin,1,9,Segar,Bungkus Brokoli dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Sawi,Sayuran Hijau,Pendingin,1,4,Segar,Bungkus Sawi dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Cabai Merah,Cabai & Paprika,Pembeku,60,-6,Kadaluwarsa,Simpan Cabai Merah dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Sawi,Sayuran Hijau,Pembeku,5,0,Kadaluwarsa,Pastikan Sawi sudah bersih dan kering sebelum dibekukan di freezer.
Kunyit,Sayuran Akar,Pembeku,13,37,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Kunyit tetap awet.
Brokoli,Sayuran Hijau,Pendingin,0,10,Segar,Bungkus Brokoli dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Pisang,Buah Tropis,Pembeku,16,14,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Pisang tetap awet.
Apel,Buah Iklim Sedang,Pendingin,6,15,Segar,Bungkus Apel dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Apel,Buah Iklim Sedang,Suhu Ruang,2,5,Segar,Simpan Apel di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Apel,Buah Iklim Sedang,Pembeku,23,37,Segar,Simpan Apel dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Singkong,Sayuran Akar,Pembeku,24,6,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Singkong tetap awet.
Mangga,Buah Tropis,Pembeku,13,17,Segar,Pastikan Mangga sudah bersih dan kering sebelum dibekukan di freezer.
Alpukat,Buah Tropis,Pembeku,2,28,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Alpukat tetap awet.
Kol,Sayuran Hijau,Pendingin,18,-4,Kadaluwarsa,Bungkus Kol dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Cabai Merah,Cabai & Paprika,Pembeku,48,12,Segar,Pastikan Cabai Merah sudah bersih dan kering sebelum dibekukan di freezer.
Jeruk Bali,Buah Sitrus,Suhu Ruang,4,10,Segar,Pastikan Jeruk Bali berada di area kering agar tidak cepat lembap dan busuk.
Semangka,Sayuran Akar,Pendingin,7,3,Segera,Simpan Semangka di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Bayam,Sayuran Hijau,Suhu Ruang,,0,Kadaluwarsa,Letakkan Bayam di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
RaspBuah Beri,Buah Beri,Pembeku,,6,Segar,Pastikan RaspBuah Beri sudah bersih dan kering sebelum dibekukan di freezer.
Lemon,Buah Sitrus,Pembeku,36,24,Segar,Pastikan Lemon sudah bersih dan kering sebelum dibekukan di freezer.
Jeruk,Buah Sitrus,Pembeku,42,18,Segar,Simpan Jeruk dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Tomat,Buah Tropis,Pendingin,5,9,Segar,Simpan Tomat di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Jeruk Bali,Buah Sitrus,Pembeku,30,30,Segar,Simpan Jeruk Bali dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Cabai Rawit,Cabai & Paprika,Pendingin,,5,Segar,Simpan Cabai Rawit di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Semangka,Buah Tropis,Pembeku,37,-7,Kadaluwarsa,Simpan Semangka dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Pepaya,Buah Tropis,Pembeku,7,0,Kadaluwarsa,Simpan Pepaya dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Melon,Buah Tropis,Suhu Ruang,5,0,Kadaluwarsa,Simpan Melon di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Bawang Merah,Sayuran Akar,Suhu Ruang,15,15,Segar,Simpan Bawang Merah di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Kentang,Sayuran Akar,Pembeku,9,37,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Kentang tetap awet.
Pepaya,Buah Tropis,Pembeku,27,3,Segera,Simpan Pepaya dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Tomat,Buah Tropis,Pembeku,50,10,Segar,Simpan Tomat dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Lemon,Buah Sitrus,Pembeku,22,37,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Lemon tetap awet.
Jeruk Bali,Buah Sitrus,Pendingin,14,37,Segar,Gunakan wadah tertutup saat menyimpan Jeruk Bali di rak kulkas.
BlueBuah Beri,Buah Beri,Pembeku,13,17,Segar,Simpan BlueBuah Beri dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Mangga,Buah Tropis,Pembeku,36,-6,Kadaluwarsa,Gunakan wadah khusus freezer untuk menjaga nutrisi Mangga tetap awet.
Nanas,Buah Tropis,Suhu Ruang,1,4,Segar,Simpan Nanas di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Apel,Buah Iklim Sedang,Pendingin,14,7,Segar,Bungkus Apel dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Kentang,Sayuran Akar,Pendingin,6,24,Segar,Simpan Kentang di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Kol,Sayuran Hijau,Pembeku,2,1,Segera,Gunakan wadah khusus freezer untuk menjaga nutrisi Kol tetap awet.
Ubi Jalar,Sayuran Akar,Pendingin,26,4,Segar,Gunakan wadah tertutup saat menyimpan Ubi Jalar di rak kulkas.
Seledri,Sayuran Hijau,Suhu Ruang,,0,Kadaluwarsa,Letakkan Seledri di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Melon,Buah Tropis,Pembeku,10,20,Segar,Pastikan Melon sudah bersih dan kering sebelum dibekukan di freezer.
Kol,Sayuran Hijau,Pembeku,28,2,Segera,Simpan Kol dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Jeruk Nipis,Buah Sitrus,Pembeku,23,37,Segar,Pastikan Jeruk Nipis sudah bersih dan kering sebelum dibekukan di freezer.
Kentang,Sayuran Akar,Suhu Ruang,15,-1,Kadaluwarsa,Simpan Kentang di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Selada,Sayuran Hijau,Pembeku,11,19,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Selada tetap awet.
Jahe,Sayuran Akar,Suhu Ruang,9,5,Segar,Simpan Jahe di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Cabai Merah,Cabai & Paprika,Pembeku,6,37,Segar,Simpan Cabai Merah dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Singkong,Sayuran Akar,Pembeku,17,13,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Singkong tetap awet.
BlueBuah Beri,Sayuran Akar,Pembeku,19,11,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi BlueBuah Beri tetap awet.
Pear,Buah Iklim Sedang,Pendingin,2,12,Segar,Gunakan wadah tertutup saat menyimpan Pear di rak kulkas.
Kangkung,Sayuran Hijau,Pembeku,16,14,Segar,Simpan Kangkung dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Lemon,Buah Sitrus,Pendingin,1,20,Segar,Simpan Lemon di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
RaspBuah Beri,Buah Beri,Pembeku,17,4,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi RaspBuah Beri tetap awet.
Wortel,Sayuran Akar,Pendingin,19,2,Segera,Bungkus Wortel dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Apel,Buah Iklim Sedang,Suhu Ruang,1,6,Segar,Simpan Apel di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Bawang Putih,Sayuran Akar,Pendingin,60,-8,Kadaluwarsa,Bungkus Bawang Putih dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Jahe,Sayuran Akar,Suhu Ruang,17,-3,Kadaluwarsa,Simpan Jahe di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Melon,Sayuran Akar,Pendingin,6,1,Segera,Simpan Melon di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Kiwi,Buah Iklim Sedang,Pembeku,43,17,Segar,Pastikan Kiwi sudah bersih dan kering sebelum dibekukan di freezer.
Lemon,Buah Sitrus,Pembeku,60,37,Segar,Simpan Lemon dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
